model,task,split,n_params,auc_test
gbm,3918,2,400,0.89010989010989
gbm,3918,3,400,0.842233009708738
gbm,3918,4,400,0.762742718446602
gbm,3918,5,400,0.797936893203884
gbm,3918,6,400,0.836165048543689
gbm,3918,7,400,0.883495145631068
gbm,3918,8,400,0.842839805825243
gbm,3918,9,400,0.782766990291262
gbm,3954,1,400,1
gbm,3954,10,400,1
gbm,3954,2,400,1
gbm,3954,3,400,1
gbm,3954,4,400,1
gbm,3954,5,400,1
gbm,3954,6,400,1
gbm,3954,7,400,1
gbm,3954,8,400,1
gbm,3954,9,400,1
gbm,43,1,400,0.971720036236165
gbm,43,10,400,0.971454880294659
gbm,43,2,400,0.984336706459009
gbm,43,3,400,0.987746066882758
gbm,43,4,400,0.984732370938038
gbm,43,5,400,0.962613121051902
gbm,43,6,400,0.980979821382602
gbm,43,7,400,0.9682567971643
gbm,43,8,400,0.975138121546961
gbm,43,9,400,0.974088595813778
gbm,49,1,400,0.776815776815777
gbm,49,10,400,0.812316715542522
gbm,49,2,400,0.781625781625782
gbm,49,3,400,0.808080808080808
gbm,49,4,400,0.784511784511784
gbm,49,5,400,0.865800865800866
gbm,49,6,400,0.838383838383838
gbm,49,7,400,0.783206831119545
gbm,49,8,400,0.829222011385199
gbm,49,9,400,0.809872922776149
gbm,9946,1,400,0.997354497354497
gbm,9946,10,400,1
gbm,9946,2,400,0.994708994708995
gbm,9946,3,400,0.964285714285714
gbm,9946,4,400,0.988095238095238
gbm,9946,5,400,1
gbm,9946,6,400,0.998677248677249
gbm,9946,7,400,0.993386243386243
gbm,9946,8,400,0.98961038961039
gbm,9946,9,400,0.985714285714286
gbm,9952,1,400,0.864508215614607
gbm,9952,10,400,0.881683421647766
gbm,9952,2,400,0.879877506667984
gbm,9952,3,400,0.85360894333037
gbm,9952,4,400,0.873826928776055
gbm,9952,5,400,0.854670620982172
gbm,9952,6,400,0.873285174630526
gbm,9952,7,400,0.905195838027702
gbm,9952,8,400,0.874577506793028
gbm,9952,9,400,0.875014443949223
gbm,9957,1,400,0.900793650793651
gbm,9957,10,400,0.911030595813205
gbm,9957,2,400,0.936111111111111
gbm,9957,3,400,0.871825396825397
gbm,9957,4,400,0.940873015873016
gbm,9957,5,400,0.877380952380952
gbm,9957,6,400,0.886122448979592
gbm,9957,7,400,0.932040816326531
gbm,9957,8,400,0.883673469387755
gbm,9957,9,400,0.951836734693878
gbm,9970,1,400,0.55428648212846
