model,task,split,n_params,auc_test
safe_logreg_gbm,37,9,20,0.813846153846154
safe_logreg_gbm,3891,1,918,0.810971557682084
safe_logreg_gbm,3891,10,914,0.798529411764706
safe_logreg_gbm,3891,2,911,0.72272062732589
safe_logreg_gbm,3891,3,916,0.776432083997874
safe_logreg_gbm,3891,4,916,0.773258904837852
safe_logreg_gbm,3891,5,919,0.797730595427964
safe_logreg_gbm,3891,6,916,0.791342638750416
safe_logreg_gbm,3891,7,917,0.791093386507145
safe_logreg_gbm,3891,8,918,0.806314390162845
safe_logreg_gbm,3891,9,915,0.775467914438503
safe_logreg_gbm,3899,1,9,0.894442007632844
safe_logreg_gbm,3899,10,9,0.907240252422808
safe_logreg_gbm,3899,2,9,0.907288690944808
safe_logreg_gbm,3899,3,9,0.903514444669381
safe_logreg_gbm,3899,4,9,0.90073929115025
safe_logreg_gbm,3899,5,9,0.909263445576625
safe_logreg_gbm,3899,6,9,0.891596760061016
safe_logreg_gbm,3899,7,9,0.864350539333137
safe_logreg_gbm,3899,8,9,0.893054620027656
safe_logreg_gbm,3899,9,9,0.922277627526106
safe_logreg_gbm,3902,1,41,0.912760416666667
safe_logreg_gbm,3902,10,42,0.909466911764706
safe_logreg_gbm,3902,2,40,0.840494791666667
safe_logreg_gbm,3902,3,41,0.907552083333333
safe_logreg_gbm,3902,4,40,0.874565972222222
safe_logreg_gbm,3902,5,39,0.870659722222222
safe_logreg_gbm,3902,6,39,0.88671875
safe_logreg_gbm,3902,7,39,0.903428819444444
safe_logreg_gbm,3902,8,41,0.899088541666667
safe_logreg_gbm,3902,9,42,0.852251838235294
safe_logreg_gbm,3903,1,44,0.736702127659574
safe_logreg_gbm,3903,10,45,0.78125
safe_logreg_gbm,3903,2,42,0.839760638297872
safe_logreg_gbm,3903,3,45,0.796320921985816
safe_logreg_gbm,3903,4,42,0.887053571428571
safe_logreg_gbm,3903,5,43,0.819419642857143
safe_logreg_gbm,3903,6,41,0.690625
safe_logreg_gbm,3903,7,42,0.735714285714286
safe_logreg_gbm,3903,8,43,0.805580357142857
safe_logreg_gbm,3903,9,43,0.754910714285714
safe_logreg_gbm,3913,1,35,0.811688311688312
safe_logreg_gbm,3913,10,29,0.878048780487805
safe_logreg_gbm,3913,2,30,0.882034632034632
safe_logreg_gbm,3913,3,30,0.85
safe_logreg_gbm,3913,4,31,0.854761904761905
safe_logreg_gbm,3913,5,31,0.908333333333333
safe_logreg_gbm,3913,6,31,0.861419068736142
safe_logreg_gbm,3913,7,29,0.750554323725055
safe_logreg_gbm,3913,8,31,0.610864745011086
safe_logreg_gbm,3913,9,35,0.747228381374723
safe_logreg_gbm,3917,1,31,0.787622206703911
safe_logreg_gbm,3917,10,28,0.753686797752809
safe_logreg_gbm,3917,2,33,0.776449022346369
safe_logreg_gbm,3917,3,32,0.817475558659218
safe_logreg_gbm,3917,4,30,0.811627511065713
safe_logreg_gbm,3917,5,30,0.736295539666326
safe_logreg_gbm,3917,6,25,0.764130064691862
safe_logreg_gbm,3917,7,30,0.776983316309159
safe_logreg_gbm,3917,8,31,0.840909090909091
safe_logreg_gbm,3917,9,29,0.835801838610827
safe_logreg_gbm,3918,1,27,0.708104395604396
safe_logreg_gbm,3918,10,28,0.842579750346741
safe_logreg_gbm,3918,2,27,0.859203296703297
safe_logreg_gbm,3918,3,27,0.909587378640777
safe_logreg_gbm,3918,4,28,0.741504854368932
safe_logreg_gbm,3918,5,28,0.872572815533981
safe_logreg_gbm,3918,6,24,0.79247572815534
safe_logreg_gbm,3918,7,28,0.785194174757282
safe_logreg_gbm,3918,8,28,0.697208737864078
safe_logreg_gbm,3918,9,25,0.780339805825243
safe_logreg_gbm,3954,1,12,0.996117974747426
safe_logreg_gbm,3954,10,12,0.994058508116968
safe_logreg_gbm,3954,2,12,0.995103189083745
safe_logreg_gbm,3954,3,12,0.996347334208615
safe_logreg_gbm,3954,4,12,0.99535870196405
safe_logreg_gbm,3954,5,12,0.995105937006366
safe_logreg_gbm,3954,6,12,0.993110487987906
safe_logreg_gbm,3954,7,12,0.996309752848
safe_logreg_gbm,3954,8,12,0.993903939617664
safe_logreg_gbm,3954,9,12,0.994250051825909
safe_logreg_gbm,43,1,58,0.977470558115719
safe_logreg_gbm,43,10,60,0.977662924018297
safe_logreg_gbm,43,2,59,0.989613803462724
safe_logreg_gbm,43,3,58,0.986352676100878
safe_logreg_gbm,43,4,60,0.988019564743856
safe_logreg_gbm,43,5,60,0.974603457494208
safe_logreg_gbm,43,6,59,0.980682785797739
safe_logreg_gbm,43,7,60,0.96651418839977
safe_logreg_gbm,43,8,60,0.979860987346284
safe_logreg_gbm,43,9,59,0.98493039466128
safe_logreg_gbm,49,1,10,0.890812890812891
safe_logreg_gbm,49,10,10,0.816226783968719
safe_logreg_gbm,49,2,10,0.842231842231842
safe_logreg_gbm,49,3,10,0.77008177008177
safe_logreg_gbm,49,4,10,0.763107263107263
safe_logreg_gbm,49,5,10,0.86002886002886
safe_logreg_gbm,49,6,10,0.797017797017797
safe_logreg_gbm,49,7,10,0.803605313092979
safe_logreg_gbm,49,8,10,0.853415559772296
safe_logreg_gbm,49,9,10,0.848484848484849
safe_logreg_gbm,9946,1,43,1
safe_logreg_gbm,9946,10,45,1
safe_logreg_gbm,9946,2,44,0.974206349206349
safe_logreg_gbm,9946,3,43,0.941798941798942
safe_logreg_gbm,9946,4,43,0.935185185185185
safe_logreg_gbm,9946,5,44,0.998677248677249
safe_logreg_gbm,9946,6,43,0.941798941798942
safe_logreg_gbm,9946,7,46,0.994708994708995
safe_logreg_gbm,9946,8,44,0.968831168831169
safe_logreg_gbm,9946,9,43,0.950649350649351
safe_logreg_gbm,9952,1,13,0.868245579373703
safe_logreg_gbm,9952,10,10,0.867322009277142
safe_logreg_gbm,9952,2,14,0.868846521123514
safe_logreg_gbm,9952,3,13,0.849394119002931
safe_logreg_gbm,9952,4,14,0.852193025782871
safe_logreg_gbm,9952,5,11,0.853187752667506
safe_logreg_gbm,9952,6,12,0.866003379945656
safe_logreg_gbm,9952,7,10,0.905825435747896
safe_logreg_gbm,9952,8,13,0.872804692159852
safe_logreg_gbm,9952,9,11,0.880519652024629
safe_logreg_gbm,9957,1,48,0.929365079365079
safe_logreg_gbm,9957,10,48,0.906602254428341
safe_logreg_gbm,9957,2,46,0.93531746031746
safe_logreg_gbm,9957,3,47,0.877777777777778
safe_logreg_gbm,9957,4,47,0.924206349206349
safe_logreg_gbm,9957,5,45,0.899603174603175
safe_logreg_gbm,9957,6,45,0.9
safe_logreg_gbm,9957,7,50,0.963673469387755
