"","model","split","auc_train","auc_test"
"1","gbm300",1,0.9057382461701,0.782136524822695
"2","gbm300",2,0.898540676175383,0.886524822695035
"3","gbm300",3,0.896540434055291,0.872340425531915
"4","gbm300",4,0.90045471540424,0.8671875
"5","gbm300",5,0.897381125186945,0.814732142857143
"6","gbm300",6,0.90124098266913,0.779464285714286
"7","gbm300",7,0.903440331661828,0.796875
"8","gbm300",8,0.899976356998328,0.834375
"9","gbm300",9,0.895858076009501,0.834821428571429
"10","gbm300",10,0.898541281780593,0.865401785714286
