"","model","split","auc_train","auc_test"
"1","gbm",1,0.995378458511162,0.994251649989355
"2","gbm",2,0.99579593953173,0.986587183308495
"3","gbm",3,0.995734359317497,0.991264020707507
"4","gbm",4,0.996276027975593,0.996333045729077
"5","gbm",5,0.996471188006819,0.998705780845557
"6","gbm",6,0.997018167141954,0.989754098360656
"7","gbm",7,0.995788791707159,0.999137187230371
"8","gbm",8,0.996537568969821,0.999352890422778
"9","gbm",9,0.996010504123585,0.985979292493529
"10","gbm",10,0.99650305086906,0.994823123382226
