"","model","split","auc_train","auc_test"
"1","gbmtuned",1,0.781312,0.716836734693878
"2","gbmtuned",2,0.751968,0.755102040816326
"3","gbmtuned",3,0.768256,0.664540816326531
"4","gbmtuned",4,0.783664,0.701530612244898
"5","gbmtuned",5,0.7624,0.744897959183674
"6","gbmtuned",6,0.783984,0.6875
"7","gbmtuned",7,0.75195219123506,0.764550264550265
"8","gbmtuned",8,0.771107569721115,0.67989417989418
"9","gbmtuned",9,0.754533864541833,0.869047619047619
"10","gbmtuned",10,0.766326693227092,0.644179894179894
