"","model","split","auc_train","auc_test"
"1","svm",1,0.806167557932264,0.579831932773109
"2","svm",2,0.807593582887701,0.581232492997199
"3","svm",3,0.811604278074866,0.735294117647059
"4","svm",4,0.818968888888889,0.48493543758967
"5","svm",5,0.825635555555556,0.694404591104735
"6","svm",6,0.825742222222222,0.667144906743185
"7","svm",7,0.813884444444444,0.72883787661406
"8","svm",8,0.82372419166342,0.717261904761905
"9","svm",9,0.820111909905443,0.69047619047619
"10","svm",10,0.805875270035769,0.717261904761905
