"","model","split","auc_train","auc_test"
"1","gbm300",1,0.883322722690859,0.83031235750114
"2","gbm300",2,0.885218256598424,0.833056478405316
"3","gbm300",3,0.883892297169036,0.857601099782335
"4","gbm300",4,0.881869599260489,0.888618398441975
"5","gbm300",5,0.884844965967277,0.869773169893459
"6","gbm300",6,0.886849635635115,0.829834459846489
"7","gbm300",7,0.885035853221841,0.847376560888991
"8","gbm300",8,0.885736326426738,0.837590299277606
"9","gbm300",9,0.883317957853512,0.849673202614379
"10","gbm300",10,0.89018496525495,0.794862974429538
