"","model","split","auc_train","auc_test"
"1","gbmtuned",1,0.961101682792343,0.939863445378151
"2","gbmtuned",2,0.982908733874324,0.886029411764706
"3","gbmtuned",3,0.961022029754474,0.84375
"4","gbmtuned",4,0.960573371826883,0.923581932773109
"5","gbmtuned",5,0.967107315551396,0.949894514767933
"6","gbmtuned",6,0.964411753236625,0.879746835443038
"7","gbmtuned",7,0.983667394582229,0.910073839662447
"8","gbmtuned",8,0.986601804190714,0.873945147679325
"9","gbmtuned",9,0.982728253522591,0.904799578059072
"10","gbmtuned",10,0.98574390370717,0.901635021097046
