"","model","split","auc_train","auc_test"
"1","svm",1,0.959514109697933,0.957142857142857
"2","svm",2,0.955797893481717,0.972222222222222
"3","svm",3,0.965570349761526,0.877777777777778
"4","svm",4,0.96195846581876,0.928571428571429
"5","svm",5,0.958739069952305,0.929365079365079
"6","svm",6,0.958580350553962,0.893469387755102
"7","svm",7,0.953592955242213,0.97265306122449
"8","svm",8,0.959427266738976,0.910204081632653
"9","svm",9,0.954167471484679,0.963265306122449
"10","svm",10,0.959350198412698,0.911433172302737
