"","model","split","auc_train","auc_test"
"1","gbm",1,0.818348474052963,0.828299581005587
"2","gbm",2,0.818435416560639,0.810055865921788
"3","gbm",3,0.818596578282186,0.807699022346369
"4","gbm",4,0.818658628645551,0.810946544092611
"5","gbm",5,0.823831244085781,0.762172284644195
"6","gbm",6,0.819269986071683,0.796731358529111
"7","gbm",7,0.820508649378542,0.790772897514471
"8","gbm",8,0.817641117242406,0.82822608103507
"9","gbm",9,0.813876218727739,0.84542049710589
"10","gbm",10,0.825065166253417,0.763167134831461
