"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.902116687192118,0.719093406593407
"2","safe_logreg_gbm",2,0.90315578817734,0.903159340659341
"3","safe_logreg_gbm",3,0.905789301258951,0.892597087378641
"4","safe_logreg_gbm",4,0.923503533486217,0.662014563106796
"5","safe_logreg_gbm",5,0.898496123305409,0.844660194174757
"6","safe_logreg_gbm",6,0.893137392552378,0.859830097087379
"7","safe_logreg_gbm",7,0.86473689958035,0.918082524271845
"8","safe_logreg_gbm",8,0.905789301258951,0.745145631067961
"9","safe_logreg_gbm",9,0.875836570412318,0.809466019417476
"10","safe_logreg_gbm",10,0.912178994310318,0.821775312066574
