"","model","split","auc_train","auc_test"
"1","safe_logreg_gbmtuned",1,0.886293097611097,0.863545062399157
"2","safe_logreg_gbmtuned",2,0.884375971310001,0.868113866113471
"3","safe_logreg_gbmtuned",3,0.884512821495962,0.87285554348184
"4","safe_logreg_gbmtuned",4,0.881735537729453,0.86847607757911
"5","safe_logreg_gbmtuned",5,0.878774603555043,0.866715819471138
"6","safe_logreg_gbmtuned",6,0.882046008158793,0.887558817681755
"7","safe_logreg_gbmtuned",7,0.880518578211261,0.904624229571211
"8","safe_logreg_gbmtuned",8,0.881740399885216,0.869308767976672
"9","safe_logreg_gbmtuned",9,0.880684639050002,0.887427986596015
"10","safe_logreg_gbmtuned",10,0.884571195320963,0.882583073342247
