"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.76951054421662,0.780814020523464
"2","safe_logreg_gbm",2,0.777508768434707,0.761338168742073
"3","safe_logreg_gbm",3,0.761809473465584,0.762770415369538
"4","safe_logreg_gbm",4,0.774491576011119,0.747163431050386
"5","safe_logreg_gbm",5,0.769761661858592,0.763105507033322
"6","safe_logreg_gbm",6,0.770883101229377,0.772102538049118
"7","safe_logreg_gbm",7,0.767373503393674,0.78491168713248
"8","safe_logreg_gbm",8,0.775179645313098,0.760878022423342
"9","safe_logreg_gbm",9,0.769494535579891,0.765263631860957
"10","safe_logreg_gbm",10,0.780780842726116,0.767639245350984
