"","model","split","auc_train","auc_test"
"1","gbm300",1,0.962676371224165,0.929761904761905
"2","gbm300",2,0.961285274244833,0.946825396825397
"3","gbm300",3,0.965428755961844,0.878571428571429
"4","gbm300",4,0.964536963434022,0.93452380952381
"5","gbm300",5,0.962969495230525,0.899603174603175
"6","gbm300",6,0.964147214834406,0.899591836734694
"7","gbm300",7,0.959756623033149,0.969795918367347
"8","gbm300",8,0.965883145377373,0.88530612244898
"9","gbm300",9,0.961235011812252,0.962857142857143
"10","gbm300",10,0.962234623015873,0.929549114331723
