"","model","split","auc_train","auc_test"
"1","safe_logreg_svm",1,0.889793280445023,0.88511464060215
"2","safe_logreg_svm",2,0.891079128853681,0.880358098262869
"3","safe_logreg_svm",3,0.8859099421845,0.890649683109129
"4","safe_logreg_svm",4,0.887272977100665,0.888168349932379
"5","safe_logreg_svm",5,0.885711932281958,0.902914051164711
"6","safe_logreg_svm",6,0.892089169650604,0.869852891037273
"7","safe_logreg_svm",7,0.889235692885559,0.885212296047672
"8","safe_logreg_svm",8,0.886558691386379,0.897915159240977
"9","safe_logreg_svm",9,0.890205187140261,0.888074352864519
"10","safe_logreg_svm",10,0.887973098368209,0.891893664455565
