"","model","split","auc_train","auc_test"
"1","gbmtuned",1,0.777997076023392,0.766081871345029
"2","gbmtuned",2,0.751352339181287,0.839668615984405
"3","gbmtuned",3,0.788036062378168,0.687134502923977
"4","gbmtuned",4,0.786019736842105,0.691520467836257
"5","gbmtuned",5,0.77535940545809,0.807992202729045
"6","gbmtuned",6,0.783168859649123,0.730019493177388
"7","gbmtuned",7,0.78036671539961,0.734405458089669
"8","gbmtuned",8,0.781938352826511,0.750974658869396
"9","gbmtuned",9,0.782487620016224,0.762641898864809
"10","gbmtuned",10,0.779248846754568,0.768317853457172
