"","model","split","auc_train","auc_test"
"1","gbm",1,0.899670781893004,0.833809523809524
"2","gbm",2,0.945479129923574,0.739523809523809
"3","gbm",3,0.926378600823045,0.763809523809524
"4","gbm",4,0.893809523809524,0.790952380952381
"5","gbm",5,0.874955908289242,0.783333333333333
"6","gbm",6,0.955426219870664,0.823333333333333
"7","gbm",7,0.983797766019988,0.799047619047619
"8","gbm",8,0.902986478542034,0.82
"9","gbm",9,0.976502057613169,0.782380952380952
"10","gbm",10,0.974656084656085,0.801904761904762
