"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.929128689236111,0.916666666666667
"2","safe_logreg_gbm",2,0.934092881944444,0.843967013888889
"3","safe_logreg_gbm",3,0.935696072048611,0.873046875
"4","safe_logreg_gbm",4,0.927240668402778,0.872395833333333
"5","safe_logreg_gbm",5,0.925922309027778,0.920572916666667
"6","safe_logreg_gbm",6,0.930607096354167,0.907118055555556
"7","safe_logreg_gbm",7,0.914523654513889,0.869357638888889
"8","safe_logreg_gbm",8,0.924509006076389,0.917100694444444
"9","safe_logreg_gbm",9,0.924937456866805,0.853860294117647
"10","safe_logreg_gbm",10,0.9413658126294,0.922564338235294
