"","model","split","auc_train","auc_test"
"1","h2o",1,0.000714778116988529,0.0131749970459648
"2","h2o",2,0.000795957799702482,0.00610720215036762
"3","h2o",3,0.000757118674291186,0.00891374812238121
"4","h2o",4,0.000393192350674824,0.00556446662310145
"5","h2o",5,0.000476104650708429,0.0117626091605774
"6","h2o",6,0.000926444212599346,0.00988138378977802
"7","h2o",7,0.000451926984424697,0.024119289490881
"8","h2o",8,0.000697855367734976,0.0103269371670726
"9","h2o",9,0.000263756359458888,0.00661399235628428
"10","h2o",10,0.000359001711485709,0.0208915028020357
