"","model","split","auc_train","auc_test"
"1","gbm300",1,0.986395447269669,0.984867810760668
"2","gbm300",2,0.985945186370141,0.988556851311953
"3","gbm300",3,0.986087623985004,0.986766167505963
"4","gbm300",4,0.986044982773196,0.987663994169096
"5","gbm300",5,0.986608489560252,0.982091505433342
"6","gbm300",6,0.986111941706413,0.987600589594455
"7","gbm300",7,0.986290060907639,0.986045268637293
"8","gbm300",8,0.98617128743317,0.986210386593662
"9","gbm300",9,0.986519498683867,0.984184503069521
"10","gbm300",10,0.986486689500603,0.985073834411814
