"","model","split","auc_train","auc_test"
"1","gbm300",1,0.869500891265597,0.715686274509804
"2","gbm300",2,0.871105169340463,0.634453781512605
"3","gbm300",3,0.864367201426025,0.759103641456583
"4","gbm300",4,0.865688888888889,0.708751793400287
"5","gbm300",5,0.868728888888889,0.713055954088953
"6","gbm300",6,0.860213333333333,0.710186513629842
"7","gbm300",7,0.863573333333333,0.769010043041607
"8","gbm300",8,0.869532882388356,0.739583333333333
"9","gbm300",9,0.862892658568545,0.761904761904762
"10","gbm300",10,0.857757552147891,0.833333333333333
