"","model","split","auc_train","auc_test"
"1","logreg",1,0.608298439284355,0.539285714285714
"2","logreg",2,0.610358927760109,0.475
"3","logreg",3,0.592685143116765,0.725
"4","logreg",4,0.604513100106012,0.51625
"5","logreg",5,0.594623655913978,0.63625
"6","logreg",6,0.620163984208928,0.38949938949939
"7","logreg",7,0.605314303067112,0.511599511599512
"8","logreg",8,0.590343152140905,0.677655677655678
"9","logreg",9,0.610036440935317,0.492063492063492
"10","logreg",10,0.614211964773762,0.467643467643468
