"","model","split","auc_train","auc_test"
"1","svm",1,0.984262115431447,0.952313836034766
"2","svm",2,0.988274500481254,0.919309372797745
"3","svm",3,0.98665679032389,0.898637538172422
"4","svm",4,0.984799902589496,0.936809960065774
"5","svm",5,0.984040332587293,0.96041813483674
"6","svm",6,0.98468248814259,0.931876908621095
"7","svm",7,0.984499029010579,0.979233964005538
"8","svm",8,0.985319854198177,0.953724471727069
"9","svm",9,0.984150715970399,0.955377169165388
"10","svm",10,0.98395658397223,0.940738991854563
