"","model","split","auc_train","auc_test"
"1","svm",1,0.182930729736554,0.378930395055093
"2","svm",2,0.810675869034593,0.626713249126579
"3","svm",3,0.773223107168061,0.548497267759563
"4","svm",4,0.168071378163121,0.395355191256831
"5","svm",5,0.79641428907484,0.568306010928962
"6","svm",6,0.780928857075646,0.494535519125683
"7","svm",7,0.790402258292167,0.475409836065574
"8","svm",8,0.820761501495446,0.545628415300546
"9","svm",9,0.816567530328998,0.566120218579235
"10","svm",10,0.806455623886817,0.549180327868853
