"","model","split","auc_train","auc_test"
"1","svm",1,0.914232804232804,0.806666666666667
"2","svm",2,0.915014697236919,0.769523809523809
"3","svm",3,0.906925338036449,0.753333333333333
"4","svm",4,0.913145208700764,0.761904761904762
"5","svm",5,0.918136390358613,0.76047619047619
"6","svm",6,0.921945914168136,0.821904761904762
"7","svm",7,0.914391534391534,0.822380952380952
"8","svm",8,0.916102292768959,0.873809523809524
"9","svm",9,0.920746619635509,0.762857142857143
"10","svm",10,0.914638447971781,0.778571428571429
