"","model","split","auc_train","auc_test"
"1","svm",1,0.938137102737795,0.930010881471233
"2","svm",2,0.881571305456573,0.867923440562666
"3","svm",3,0.879466578669298,0.86385189669088
"4","svm",4,0.88039616874296,0.884789720973135
"5","svm",5,0.951363306480659,0.944047799204427
"6","svm",6,0.877328314672256,0.866700175833045
"7","svm",7,0.877688216970446,0.882689092586187
"8","svm",8,0.87916588084584,0.868386690080598
"9","svm",9,0.872455163732441,0.869786122743032
"10","svm",10,0.882645273065324,0.858174613895268
