"","model","split","auc_train","auc_test"
"1","gbm300",1,0.85206937095826,0.834285714285714
"2","gbm300",2,0.859194591416814,0.771428571428571
"3","gbm300",3,0.86249265138154,0.722857142857143
"4","gbm300",4,0.854938271604938,0.792380952380952
"5","gbm300",5,0.860993533215755,0.727619047619048
"6","gbm300",6,0.855579071134627,0.803809523809524
"7","gbm300",7,0.857848324514991,0.800952380952381
"8","gbm300",8,0.849382716049383,0.860952380952381
"9","gbm300",9,0.849700176366843,0.801904761904762
"10","gbm300",10,0.857378012933569,0.760476190476191
