"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.880923827127778,0.873602055014044
"2","safe_logreg_gbm",2,0.894178759365487,0.892942146863071
"3","safe_logreg_gbm",3,0.879904292777506,0.891840154789731
"4","safe_logreg_gbm",4,0.89327993624391,0.896503309075618
"5","safe_logreg_gbm",5,0.87983892290565,0.893978884044081
"6","safe_logreg_gbm",6,0.89531693863184,0.872492859064064
"7","safe_logreg_gbm",7,0.894732343118155,0.889314545916029
"8","safe_logreg_gbm",8,0.892433098204492,0.905624576184505
"9","safe_logreg_gbm",9,0.894525024732966,0.887588977577082
"10","safe_logreg_gbm",10,0.892359665268835,0.900600350038451
