"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.738748781676413,0.712962962962963
"2","safe_logreg_gbm",2,0.748318713450292,0.810428849902534
"3","safe_logreg_gbm",3,0.763736598440546,0.661793372319688
"4","safe_logreg_gbm",4,0.763371101364522,0.639863547758285
"5","safe_logreg_gbm",5,0.752247807017544,0.78411306042885
"6","safe_logreg_gbm",6,0.759655214424951,0.706627680311891
"7","safe_logreg_gbm",7,0.735903996101364,0.749025341130604
"8","safe_logreg_gbm",8,0.754593079922027,0.723196881091618
"9","safe_logreg_gbm",9,0.750995847105687,0.765221878224974
"10","safe_logreg_gbm",10,0.756250529705907,0.76625386996904
