"","model","split","auc_train","auc_test"
"1","gbm300",1,0.817446737050773,0.825444266689727
"2","gbm300",2,0.820555400657236,0.803087707540643
"3","gbm300",3,0.818149584006274,0.81007238700565
"4","gbm300",4,0.81976051541087,0.794118600830163
"5","gbm300",5,0.817015623780648,0.817733555286521
"6","gbm300",6,0.818825699047888,0.813422402859449
"7","gbm300",7,0.81734225574342,0.825219971463162
"8","gbm300",8,0.820476852387264,0.794818316898555
"9","gbm300",9,0.819110080153724,0.804324373001936
"10","gbm300",10,0.819118131110498,0.795817011121617
