"","model","split","auc_train","auc_test"
"1","safe_logreg_gbmtuned",1,0.985144344858815,0.980660916144787
"2","safe_logreg_gbmtuned",2,0.985883321404755,0.991185073918887
"3","safe_logreg_gbmtuned",3,0.986325208058019,0.987499011779587
"4","safe_logreg_gbmtuned",4,0.985556530802835,0.987168062733916
"5","safe_logreg_gbmtuned",5,0.986776526074758,0.977336184874948
"6","safe_logreg_gbmtuned",6,0.984702497479661,0.981593694924652
"7","safe_logreg_gbmtuned",7,0.986284547198712,0.95869225133171
"8","safe_logreg_gbmtuned",8,0.985851669284693,0.979662963623042
"9","safe_logreg_gbmtuned",9,0.985166269078377,0.982455098120755
"10","safe_logreg_gbmtuned",10,0.986585546933002,0.975781698647498
