"","model","split","auc_train","auc_test"
"1","svm",1,0.913064119749777,0.794372294372294
"2","svm",2,0.912072721179625,0.877705627705628
"3","svm",3,0.906774273790111,0.873809523809524
"4","svm",4,0.915508139631298,0.795238095238095
"5","svm",5,0.924297283104392,0.902380952380952
"6","svm",6,0.9322498885918,0.762749445676275
"7","svm",7,0.937931706773619,0.62860310421286
"8","svm",8,0.917126225490196,0.680709534368071
"9","svm",9,0.92394997771836,0.729490022172949
"10","svm",10,0.899050245098039,0.789356984478936
