"","model","split","auc_train","auc_test"
"1","svm",1,0.924276162451572,0.917152359313774
"2","svm",2,0.920545924148694,0.925367973920774
"3","svm",3,0.920788828130035,0.914715663999473
"4","svm",4,0.924738516209507,0.898383219730646
"5","svm",5,0.924026333467031,0.905825435747896
"6","svm",6,0.926130638518504,0.911988866061369
"7","svm",7,0.920806593883188,0.932268539996024
"8","svm",8,0.922372441409626,0.906869242494532
"9","svm",9,0.925512360949386,0.910084352663464
"10","svm",10,0.922985344979274,0.910397992703742
