"","model","split","auc_train","auc_test"
"1","gbm300",1,0.89979007467003,0.887755606045639
"2","gbm300",2,0.897762305707407,0.893015904376173
"3","gbm300",3,0.901534149730012,0.869677961078732
"4","gbm300",4,0.899786913451129,0.883458460930554
"5","gbm300",5,0.900562771674444,0.870170322751673
"6","gbm300",6,0.898476095909842,0.886506726754589
"7","gbm300",7,0.89528356453175,0.917837497514746
"8","gbm300",8,0.89810883608391,0.886481874213003
"9","gbm300",9,0.898430330389905,0.891884976642071
"10","gbm300",10,0.898780613868738,0.891736410307202
