"","model","split","auc_train","auc_test"
"1","gbm",1,0.927145105076987,0.934348739495798
"2","gbm",2,0.92323072721598,0.901785714285714
"3","gbm",3,0.931135884831461,0.819984243697479
"4","gbm",4,0.929711883583021,0.915703781512605
"5","gbm",5,0.926097072739562,0.950685654008439
"6","gbm",6,0.924410518379868,0.895042194092827
"7","gbm",7,0.926755121405917,0.877637130801688
"8","gbm",8,0.938122302812874,0.842827004219409
"9","gbm",9,0.936531612332969,0.857331223628692
"10","gbm",10,0.932290854260906,0.871044303797468
