"","model","split","auc_train","auc_test"
"1","gbmtuned",1,0.951791076791077,0.605
"2","gbmtuned",2,0.940529815529816,0.96
"3","gbmtuned",3,0.948385885885886,0.565
"4","gbmtuned",4,0.943908193908194,0.81
"5","gbmtuned",5,0.935818032337627,0.902040816326531
"6","gbmtuned",6,0.927925459029871,0.885714285714286
"7","gbmtuned",7,0.935571389421759,0.702040816326531
"8","gbmtuned",8,0.920827624006577,0.991836734693878
"9","gbmtuned",9,0.934118936694985,0.844897959183673
"10","gbmtuned",10,0.952260893395451,0.828571428571429
