"","model","split","auc_train","auc_test"
"1","safe_logreg_svm",1,0.931572808159722,0.84375
"2","safe_logreg_svm",2,0.915269639756944,0.774305555555556
"3","safe_logreg_svm",3,0.9214111328125,0.896267361111111
"4","safe_logreg_svm",4,0.937570529513889,0.747829861111111
"5","safe_logreg_svm",5,0.930997721354167,0.899739583333333
"6","safe_logreg_svm",6,0.916330295138889,0.858506944444444
"7","safe_logreg_svm",7,0.920906575520833,0.889973958333333
"8","safe_logreg_svm",8,0.911461046006944,0.832899305555556
"9","safe_logreg_svm",9,0.926552255866115,0.807444852941177
"10","safe_logreg_svm",10,0.912199685127674,0.896599264705882
