"","model","split","auc_train","auc_test"
"1","gbm",1,0.882596067917784,0.893939393939394
"2","gbm",2,0.882805518319928,0.91017316017316
"3","gbm",3,0.891614383239822,0.886904761904762
"4","gbm",4,0.890951051656947,0.854761904761905
"5","gbm",5,0.887399463806971,0.904761904761905
"6","gbm",6,0.886238302139037,0.912416851441242
"7","gbm",7,0.902420343137255,0.810421286031042
"8","gbm",8,0.914382798573975,0.613082039911308
"9","gbm",9,0.901069518716578,0.787139689578714
"10","gbm",10,0.883787321746881,0.902439024390244
