"","model","split","auc_train","auc_test"
"1","logreg",1,0.807809920374023,0.601715976331361
"2","logreg",2,0.806964716195485,0.593609467455621
"3","logreg",3,0.817121776608956,0.508994082840237
"4","logreg",4,0.811452991452991,0.574733727810651
"5","logreg",5,0.802158667543283,0.647633136094675
"6","logreg",6,0.811504857915114,0.576923076923077
"7","logreg",7,0.812000876616261,0.538698224852071
"8","logreg",8,0.807582000146103,0.593786982248521
"9","logreg",9,0.807991818248229,0.592011834319527
"10","logreg",10,0.806203521075316,0.625680473372781
