"","model","split","auc_train","auc_test"
"1","gbm",1,0.98301694246982,0.981559783885365
"2","gbm",2,0.988961592429812,0.930584918957012
"3","gbm",3,0.985360882724711,0.941273197087151
"4","gbm",4,0.985075319193348,0.977448907681466
"5","gbm",5,0.981442719144643,0.981677237491191
"6","gbm",6,0.984205582549604,0.986375381724219
"7","gbm",7,0.983018941919291,0.998384863867097
"8","gbm",8,0.982942461593737,0.973674890803919
"9","gbm",9,0.981344494474482,0.975917837327352
"10","gbm",10,0.984380342251815,0.992444811710542
