"","model","split","auc_train","auc_test"
"1","gbm",1,0.864239532019704,0.791208791208791
"2","gbm",2,0.869104064039409,0.842032967032967
"3","gbm",3,0.865789925274177,0.875
"4","gbm",4,0.877794418183804,0.655339805825243
"5","gbm",5,0.872084678866164,0.762135922330097
"6","gbm",6,0.862584047050748,0.839805825242719
"7","gbm",7,0.86023618976303,0.87621359223301
"8","gbm",8,0.858293942372194,0.837378640776699
"9","gbm",9,0.87688179591582,0.783980582524272
"10","gbm",10,0.872950945717361,0.871012482662968
