"","model","split","auc_train","auc_test"
"1","gbm300",1,0.966490454640033,0.930672268907563
"2","gbm300",2,0.961158577819392,0.914915966386555
"3","gbm300",3,0.965385065543071,0.863970588235294
"4","gbm300",4,0.964715329796088,0.913077731092437
"5","gbm300",5,0.962704076327146,0.949894514767933
"6","gbm300",6,0.961665821764675,0.901107594936709
"7","gbm300",7,0.966093433161753,0.915348101265823
"8","gbm300",8,0.965924452763479,0.869989451476793
"9","gbm300",9,0.964588857692508,0.873681434599156
"10","gbm300",10,0.96793921905059,0.898997890295359
